,mp_name,p_name
723,opDDT,
724,opDDT,
725,opDDT,
726,opDDT,
727,PCBs (as Arochlor 1254) Total,
728,PCBs (as Arochlor 1254) Total,
729,PCBs (as Arochlor 1254) Total,
730,PCBs (as Arochlor 1254) Total,
731,PCBs (as Arochlor 1254) Total,
732,PCBs (as Arochlor 1254) Total,
733,PCBs (as Arochlor 1254) Total,
734,PCBs (as Arochlor 1254) Total,
735,PCBs (as Arochlor 1254) Total,
748,Chlordane (alpha+gamma),
749,Chlordane (alpha+gamma),
750,Chlordane (alpha+gamma),
751,Chlordane (alpha+gamma),
752,Chlordane (alpha+gamma),
765,p-p'-DDD,
766,p-p'-DDD,
767,p-p'-DDD,
768,p-p'-DDD,
769,p-p'-DDD,
782,p-p'-DDE,
783,p-p'-DDE,
784,p-p'-DDE,
785,p-p'-DDE,
786,p-p'-DDE,
799,p-p'-DDT,
800,p-p'-DDT,
801,p-p'-DDT,
802,p-p'-DDT,
803,p-p'-DDT,
816,Dieldrin,
817,Dieldrin,
818,Dieldrin,
819,Dieldrin,
820,Dieldrin,
833,Heptachlor epoxide,
834,Heptachlor epoxide,
835,Heptachlor epoxide,
836,Heptachlor epoxide,
837,Heptachlor epoxide,
850,Mirex,
851,Mirex,
852,Mirex,
853,Mirex,
854,Mirex,
867,opDDT,
868,opDDT,
869,opDDT,
870,opDDT,
871,opDDT,
884,PCBs (as Arochlor 1254) Total,
885,PCBs (as Arochlor 1254) Total,
886,PCBs (as Arochlor 1254) Total,
887,PCBs (as Arochlor 1254) Total,
888,PCBs (as Arochlor 1254) Total,
1061,Chlordane (alpha+gamma),
1062,Chlordane (alpha+gamma),
1063,Chlordane (alpha+gamma),
1064,Chlordane (alpha+gamma),
